HMDB,Name,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,TF,TF,TF,TF,TF,TF,TF
HMDB00033,carnosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,gama-L-glutamyl-L-alpha-aminobutyrate,784953.738,460643.82,486376.839,341785.947,461568.228,379604.163,369642.543,243752.574,256598.874,208992.27,655747.506,854515.488,438877.359,451859.487,229161.156,1371543.6,941647.179,306772.623
HMDB06790,Galactosylglycerol,3647529.438,1743118.32,1976109.021,3006686.367,1541677.323,3017884.704,3052782.666,2604329.934,2000449.5,2242812.168,1630917.27,3625930.413,2304111.288,2082752.379,1162608.303,4578109.584,2128542.675,18237851.85
NA,S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,3686897.397,5436610.458,2910474.573,5947318.305,4012215.855,2971796.538,3058857.543,3030045.399,3216809.565,2990721.009,3729255.366,2753876.802,3837596.478,3412091.256,5181358.998,6629186.034,3693103.95,2529174.687
NA,N-acetyl-seryl-aspartate,273781.896,651214.38,507641.403,403645.884,183421.203,304294.974,912185.94,678979.671,496788.249,725933.241,343328.49,395937.918,87035.502,317960.88,631791.744,1454124.264,404820.318,516379.5
HMDB00425,3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,17384911.4,15155235.15,16211373.37,22231050.05,21444907.87,13320761.15,21001478.7,27293969.63,31132366.27,42045036.34,21925453.47,25362926.46,17382233.56,13274152.19,15792407.6,27952490.66,17003859.76,29938820.77
NA,2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate,0,0,0,0,0,0,0,0,37023.597,39123.396,0,0,0,0,0,14317.602,0,0
HMDB04586,Perillic acid,74634917.41,71217698.54,38816647.35,93467212.25,44273026.52,61991094.66,49406267.72,35990695.2,91870547.78,67015923.05,112517424.2,73613592.62,78488454.29,64348200.89,86636486.54,46621141.14,65978867.51,26846122.86
NA,"trans-4,5-epoxy-2(E)-decenal",21010002.5,15925654.66,14650842.14,25743109.4,11985628.45,18636544.42,7905233.322,11061754.82,18408231.08,23195264.84,15018104.48,9461477.148,28694118.27,13045761.17,16516781.32,10506106.12,30888510.64,11326673.45
HMDB00511,caprate,124775553.4,95839974.8,79710392.03,102639501.6,61504036.02,82897283.74,56949639.84,55435263.95,113246018.7,62534708.7,45452980.42,47781527.78,86584509.07,46043993.7,52311119.75,112238933.9,60835683.45,133382421.9
HMDB02203,w-hydroxydecanoicacid,21167076.92,28588822.26,36069347.76,45885507.2,13540307.24,19446809.56,25204059.27,23567781.63,17599142.22,31432501.01,13337777.27,14857508.99,58750425.71,25603202.48,34347498.19,13118795.42,36001781.49,9386780.49
HMDB00715,kynurenate,1177243.413,2661715.482,1302059.745,1218976.122,1177189.815,1702813.23,3601813.785,1621953.582,1482726.66,2060709.447,1244557.803,6012296.478,1287319.473,3199014.153,710459.877,1634694.579,1947365.292,873013.731
HMDB00052,N(omega)-(L-Arginino)succinate,26175.942,0,47846.457,141715.143,78423.387,0,12935.808,15208.713,0,27350.271,22057.308,123502.962,28185.171,180722.805,36094.104,30725.052,11195.712,52182.78
HMDB06555,dIMP,99179.772,109978.086,88660.119,42751.44,71597.127,70423.422,286674.345,131967.342,132394.746,44785.896,208882.818,155008.515,68543.865,88765.56,52484.739,384450.366,252683.112,112328.769
HMDB00929,L-tryptophan,659922663.5,341175223,482240247.9,623272799,469525755,689702845.7,505444893.9,463274959.1,681328954.6,507414427.6,694766618.3,516422563.3,801136524,332267700.7,567403884.7,677299486.2,644266579.3,601921993.2
HMDB04096,5-Methoxyindoleacetate,16665895.45,13538807.96,10295666.41,18869062.96,8081995.449,13477941.13,31039986.88,6365110.173,10523295.63,12811763.9,13988256.05,22924255.83,20207620.22,14308843.58,8934849.573,15265015.97,11057291.66,15382365.55
HMDB28848,Glycyl-phenylalanine,169317.075,167209.755,627510.513,751851.597,866027.82,994674.273,27499.095,114983.586,91632.873,13548.015,154967.373,173650.032,613499.142,271594.965,244157.583,293593.338,341436.99,103153.347
HMDB00638,Laurate,212555660.3,369463196.6,107824258.5,148664624.3,77157162.66,167514907.9,79070748.11,91242666.16,183378634.1,93718862.4,71436028.41,194225273.6,97289401.98,195284390.8,102039673.3,497007338.6,173229261.8,181418342.8
NA,Omega-Hydroxydodecanoate ,4641762.351,7153623.627,8999389.728,7504332.402,2497842.225,4500949.659,9438173.091,11825997.02,7285564.362,8864122.632,2783587.707,3464288.046,9978279.312,7831421.871,9095858.208,2627707.614,6124122.393,1465847.649
HMDB00623,Dodecanedioic acid,2945938.827,3947711.523,3894556.644,3687508.614,2316668.472,3109696.656,1851623.826,1447086.486,2164816.098,2560353.981,1792262.037,1619701.98,3650173.56,2096528.904,2791081.383,3144212.511,3970205.211,1349639.559
NA,fructosyllysine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,tetradecenoate (n-C14:1),107665715.4,150143734.9,70521735.16,47848798.21,88181233.25,68922302.92,95286419.81,93368269.71,109212050.2,44927897.83,27038767.27,77276685.31,57958730.27,85961542.27,53489741,31752751.29,45329156.65,111075484.3
HMDB00806,myristate,1066607236,1264350511,706727266.9,781076001.2,731009048.2,819177806.3,814928891,850465122.9,985619154.7,792741398,654667374.5,962751216.6,764668914.5,672007817.2,734830402.2,824052246.7,1007627161,1158291529
NA,6(S)-hydroxy-tetradeca-2E4E8Z-trienoate/6(R)-hydroxy-tetradeca-2E4E8Z-trienoate,5337694.377,7334203.383,4696812.738,7203971.982,2763008.652,5396240.811,2253320.28,2077437.27,5108723.634,4490476.686,4537765.476,2209529.334,7769979.801,4754989.929,4807608.957,1669590.246,5267557.824,57001.254
NA,Omega Hydroxy Tetradecanoate,4072503.525,7498531.653,3331909.716,3331938.285,1559768.868,2884150.296,3211032.399,4259154.561,3781261.056,2827793.544,1809876.279,1325979,3259387.404,3482520.9,2481740.832,950643.36,2935885.749,1854941.514
NA,3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate,3334266.567,3044399.298,3886332.105,2678317.701,1729672.653,3954198.564,1525697.82,1531797.195,2602594.509,1808011.263,2120441.871,1881920.913,3059204.388,1560055.608,1848640.722,1393346.355,2821206.438,1616531.739
HMDB00826,pentadecanoate,87648597.68,113071902.8,53366073.29,52415397.95,49589209.1,68864727.04,55007806.8,70840496.35,99541451.99,59017080.12,30852507.09,62710054.35,57529643.87,51534497.01,39425844.26,59691472.25,46241060.83,108880074.1
HMDB03229,palmitoleate,924486410.7,1801722662,992030709,467132841,757729936.6,486785440.5,1572654924,1075904434,1087450349,412897942.4,306048811.6,684214339.7,423790453.6,822786892,351518473.7,458578460.6,485248002.1,1023061616
HMDB00220,Palmitate,4643520682,7239571698,3657737141,3230281799,2488040598,2467923260,4400865571,3592985933,5010104563,4073863797,2188613882,2726781124,2125727762,3904812819,1994535518,3143581306,2786328213,3856533776
HMDB06294,omega hydroxy hexadecanoate (n-C16:0),20687969.02,33774721.4,20313161.41,20146966.43,15309943.34,16710328.37,21646540.43,17238582.12,27189531.49,19994105.86,24859859.07,20740276.28,19520891.81,17015660.89,18082011.31,15130047.01,17788690.98,24019164.94
HMDB12515,11'-Carboxy-alpha-chromanol,681756.189,601499.904,858070.248,651133.647,461503.785,1856553.021,370335.39,414253.341,289679.25,2758359.039,563738.655,421574.109,853091.46,1605882.699,1424445.78,131160.933,12308282.2,823874.424
HMDB00672,Hexadecanedioic acid,5755279.191,6140896.557,2698666.425,2310116.142,2953320.699,3299324.478,2731015.17,3113304.201,4075956.801,1622572.74,2647570.41,3067234.188,4521592.779,2252484.702,2247379.203,1918976.001,2429366.865,3552533.994
HMDB02259,margarate,60400823.99,115260726.9,47176562.65,54848742.29,44161722.28,51214103.27,51776848.39,57080421.74,79757355.71,47103727.86,29206516.57,57344235.05,42297239.3,45882901.65,35384695.9,50532120.86,52099443.82,69200709.25
HMDB00827,stearate,365312557.9,1039201363,317872478.1,463775055.5,291127873.1,423626670.7,499771413.5,432910843.6,513219119,358915468.3,311108638.3,477161746.6,230168985.8,369473581.7,398920699.3,433703684.9,469296128.8,241874110.9
NA,"12,13-epoxy-9-hydroperoxy-10E-octadecenoate",1489110.471,684146.211,1821552.204,1029075.795,1052007.717,1720199.901,606110.043,1078891.434,1656684.315,1310279.019,3404895.147,745246.974,2054097.336,544324.617,1741325.565,575416.974,3099517.29,997871.586
HMDB01425,estrone 3-sulfate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB02925,"8,11,14-Eicosatrienoic acid (DGLA)",86587888.33,108415165.8,100738796,62136809.4,53410756.49,65009090.88,82996573.43,61734945.92,114030632.7,87368098.31,53136920.2,63331856.39,35733576.82,50113562.15,44431444.53,64668472.17,90470115.95,148269555.2
HMDB02231,Eicosenoic acid,22531555.92,64227392.31,34958183.05,33887346.54,16030040.08,18992535.05,38489661.52,30790475.59,43288242.38,30387439.82,13777012.94,21265826.27,25438926.32,34615432.56,15530785.65,23291019.27,22317205.82,18333428.55
HMDB05045,15(S)-Hydroxyeicosatrienoic acid,763354.323,1712833.503,687601.725,718781.631,434621.283,1648631.79,655220.778,505720.047,1420337.751,363123.984,2157679.866,484164.792,762050.028,731717.067,1038733.281,640832.583,15320947.18,398092.974
HMDB06268,N-Acetylneuraminate 9-phosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,fructoselysine 3-phosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01066,(R)-S-lactoylglutathionate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01018,UDP-alpha-D-xylose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01178,ADP-ribose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00935,UDP-D-Glucuronate,0,0,0,0,0,0,0,0,0,0,0,0,16110.84,0,0,20739.888,0,0
HMDB01163,GDP-D-Mannose,0,0,0,0,0,0,0,0,0,0,0,0,11248.614,0,0,21449.142,0,0
NA,2-hydroxyamino-MeIQx-N2-(beta-1-glucosiduronyl)-2-hydroxyamino-3-8-dimethylimidazo[4-5-f]quinoxaline,0,0,0,0,0,0,0,21571.56,0,0,0,0,0,0,0,0,0,0
HMDB01487,NADH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00221,NADPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,docosanedioicacid,358388.913,708946.362,303062.289,296150.907,166853.979,307267.659,52684.2,257922.087,412668.549,291704.292,1043461.392,77646.12,716318.619,107810.757,894671.304,175923.84,254493.96,196994.37
HMDB00761,lithocholate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00698,glycolithocholate,0,105208.209,333056.88,369263.814,42449.706,348127.392,0,40057.668,13698.945,236326.692,119065.329,22650.042,62037.957,46824.06,371979.558,464317.293,0,0
HMDB00637,glycochenodeoxycholate,48985630.22,22077446.29,124038918.7,41049131.56,25070684.29,31189493.69,2178430.485,19814178.76,23351144.89,76874574.23,58996373.31,25051042.45,48281322.61,8439412.278,16338086.7,17829657.44,35602909.69,133694558.4
HMDB00722,taurolithocholate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB02639,sulfoglycolithocholate,7187.16,892333.308,2479966.488,2529611.448,228419.271,1386282.408,0,1171993.479,416784.891,949956.261,3204023.382,1165156.089,129574.815,5922584.931,1634742.396,5251757.637,52601.253,275451.783
HMDB00653,cholesterol sulfate,841142.493,61546.884,687173.202,164741.772,12500.1,0,0,58681.509,20088.738,375137.727,115359.522,0,69203.229,16427.856,0,20338.542,98431.29,684226.227
NA,13-carboxy-alpha-tocopherol,727603.188,414276.222,664440.258,855513.006,697711.647,437503.209,318480.369,820598.118,516550.467,1522278.576,2464557.942,1035027.906,976098.111,123717.24,2069563.047,467390.58,586784.784,1060019.031
HMDB11111,3-oxopropanoate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00691,Malonate/3-hydroxypyruvate,22365802.19,26247608.24,24166149.58,22344703.31,22065490.84,18564214.79,19018819.84,17121902.24,17064509.74,24558883.16,13156985.6,15185842.5,16210703.27,18129961.19,22562036.77,25442982.9,21831873.75,16632634.47
HMDB00139,D-glycerate,118260728,140588070.6,95675667.84,114179135.4,85849715.33,109192670.8,123252209.8,140120926.6,331845694.6,233974251.3,104960764.7,179080154,76783767.46,95707044.11,111498491.4,187610119.6,230577154.2,166278369.2
HMDB01270,"1,3-diphosphoglycerate /2,3-diphosphoglycerate /(1,3BPG or2,3BPG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,C4H6O3(3),459450703.4,424810685.6,404656445.8,601972926.9,393990990.4,371128685.8,467165349.6,706419579.2,315717288.5,199580350,290752880.2,465683053.5,437457541.1,363156596.4,389861838.9,674265373.4,394064731.9,471691552.2
